past_tr_id,past_tr_departure,past_tr_return,past_tr_dest_count,past_tr_participants,past_tr_revenue
1,2020-04-30 12:00:00,2020-05-06 23:00:00,2,38,841.35
2,2022-06-19 12:00:00,2022-06-30 08:00:00,5,26,1198.82
3,2020-11-12 06:00:00,2020-11-18 03:00:00,2,12,3934.94
4,2022-05-24 20:00:00,2022-05-27 23:00:00,3,24,1316.83
5,2021-04-03 08:00:00,2021-04-17 18:00:00,2,20,3193.86
6,2020-11-10 16:00:00,2020-11-22 02:00:00,1,22,1470.43
7,2021-03-05 10:00:00,2021-03-19 10:00:00,3,49,3222.6
8,2022-04-09 02:00:00,2022-04-21 15:00:00,4,12,1051.69
9,2021-11-21 10:00:00,2021-11-25 09:00:00,4,20,3619.35
10,2020-10-07 04:00:00,2020-10-08 05:00:00,2,36,2290.97
11,2021-02-10 18:00:00,2021-02-24 10:00:00,2,41,2030.37
12,2022-12-09 09:00:00,2022-12-24 03:00:00,5,27,152.4
13,2022-09-11 21:00:00,2022-09-19 18:00:00,4,25,3917.85
14,2022-12-09 06:00:00,2022-12-19 11:00:00,1,29,509.3
15,2021-06-28 06:00:00,2021-06-30 18:00:00,3,11,525.8
16,2022-05-20 02:00:00,2022-05-30 08:00:00,5,3,4920.69
17,2020-05-22 18:00:00,2020-06-05 17:00:00,4,2,4719.38
18,2021-07-20 17:00:00,2021-07-28 03:00:00,1,47,202.02
19,2020-05-01 22:00:00,2020-05-10 07:00:00,1,14,4622.35
20,2020-10-24 13:00:00,2020-10-29 18:00:00,5,42,4750.71
21,2022-03-26 12:00:00,2022-04-06 01:00:00,2,44,3981.66
22,2022-08-29 03:00:00,2022-09-05 05:00:00,3,41,390.31
23,2020-08-19 08:00:00,2020-08-30 07:00:00,2,46,3543.11
24,2021-12-25 01:00:00,2022-01-04 16:00:00,3,31,1229.45
25,2021-02-01 06:00:00,2021-02-09 10:00:00,2,34,3019.34
26,2022-04-28 19:00:00,2022-05-02 06:00:00,2,46,1576.43
27,2020-10-13 13:00:00,2020-10-17 21:00:00,2,14,2128.67
28,2022-02-01 08:00:00,2022-02-15 17:00:00,2,28,4055.29
29,2021-08-08 16:00:00,2021-08-18 23:00:00,5,8,4605.9
30,2020-04-07 07:00:00,2020-04-15 20:00:00,4,29,1510.6
31,2020-05-21 06:00:00,2020-05-23 17:00:00,4,33,3747.48
32,2022-06-14 11:00:00,2022-06-17 03:00:00,5,18,3425.02
33,2020-11-19 14:00:00,2020-11-29 20:00:00,4,32,3843.06
34,2021-03-16 11:00:00,2021-03-18 11:00:00,1,47,4279.5
35,2020-11-16 21:00:00,2020-11-19 02:00:00,1,23,536.1
36,2022-10-25 09:00:00,2022-10-27 23:00:00,2,26,4223.99
37,2022-08-15 13:00:00,2022-08-29 11:00:00,3,12,2493.32
38,2021-04-17 03:00:00,2021-04-18 03:00:00,2,3,3791.77
39,2022-03-13 10:00:00,2022-03-18 05:00:00,2,43,1361.92
40,2020-10-02 17:00:00,2020-10-17 00:00:00,2,19,3622.74
41,2020-05-23 10:00:00,2020-05-26 05:00:00,1,26,3504.86
42,2022-10-16 02:00:00,2022-10-17 17:00:00,2,11,726.43
43,2021-04-03 22:00:00,2021-04-11 10:00:00,4,8,4406.93
44,2020-01-24 14:00:00,2020-01-31 07:00:00,3,49,941.56
45,2021-09-07 22:00:00,2021-09-21 00:00:00,3,15,626.77
46,2020-03-08 00:00:00,2020-03-16 15:00:00,2,11,2491.4
47,2022-04-04 18:00:00,2022-04-15 07:00:00,2,6,1856.62
48,2021-03-03 03:00:00,2021-03-15 20:00:00,3,7,159.16
49,2020-02-02 19:00:00,2020-02-17 10:00:00,1,8,3954.51
50,2020-01-01 22:00:00,2020-01-15 13:00:00,4,4,4177.2
51,2022-07-08 08:00:00,2022-07-10 13:00:00,4,6,2784.16
52,2021-07-14 23:00:00,2021-07-22 20:00:00,5,36,4031.49
53,2022-03-31 04:00:00,2022-04-07 21:00:00,3,13,2082.9
54,2021-01-22 06:00:00,2021-01-29 01:00:00,4,37,2502.29
55,2022-06-11 11:00:00,2022-06-13 21:00:00,5,35,2657.58
56,2022-07-23 16:00:00,2022-08-02 23:00:00,3,31,4021.39
57,2021-02-05 04:00:00,2021-02-07 11:00:00,4,28,2090.91
58,2022-08-11 15:00:00,2022-08-16 13:00:00,3,41,3281.44
59,2021-07-13 18:00:00,2021-07-27 02:00:00,3,7,4251.37
60,2021-06-25 23:00:00,2021-07-01 20:00:00,5,24,3661.11
61,2020-11-09 13:00:00,2020-11-17 10:00:00,5,38,4360.94
62,2022-02-24 08:00:00,2022-03-04 03:00:00,2,41,4942.22
63,2022-11-03 01:00:00,2022-11-08 10:00:00,1,46,2432.96
64,2021-05-03 00:00:00,2021-05-05 16:00:00,5,31,4128.87
65,2021-03-09 19:00:00,2021-03-24 12:00:00,5,16,1462.84
66,2020-04-08 05:00:00,2020-04-11 19:00:00,5,31,611.63
67,2021-08-25 07:00:00,2021-08-31 09:00:00,3,28,3131.92
68,2022-04-02 14:00:00,2022-04-03 18:00:00,1,17,2684.33
69,2022-04-04 04:00:00,2022-04-08 17:00:00,5,30,579.87
70,2020-01-04 09:00:00,2020-01-14 01:00:00,2,43,2720.31
71,2021-06-29 23:00:00,2021-07-03 06:00:00,1,38,1884.46
72,2020-06-18 14:00:00,2020-06-22 23:00:00,2,10,4743.61
73,2022-04-26 15:00:00,2022-04-30 20:00:00,3,27,1449.33
74,2021-10-24 08:00:00,2021-11-06 04:00:00,1,38,3161.99
75,2022-11-28 14:00:00,2022-12-07 05:00:00,1,7,2841.89
76,2022-04-26 07:00:00,2022-04-30 03:00:00,2,46,2563.93
77,2020-03-17 06:00:00,2020-03-31 07:00:00,4,34,4828.31
78,2022-06-02 18:00:00,2022-06-13 13:00:00,2,5,2690.78
79,2022-08-24 17:00:00,2022-09-04 16:00:00,2,4,4654.03
80,2022-10-23 02:00:00,2022-10-24 05:00:00,3,4,3015.77
81,2020-06-09 20:00:00,2020-06-19 01:00:00,3,4,4047.52
82,2020-01-02 16:00:00,2020-01-12 08:00:00,4,43,3481.13
83,2022-03-09 10:00:00,2022-03-17 01:00:00,3,28,508.44
84,2021-08-02 05:00:00,2021-08-06 13:00:00,5,44,957.8
85,2021-06-25 22:00:00,2021-07-09 20:00:00,2,48,3543.42
86,2020-12-27 20:00:00,2021-01-03 00:00:00,1,40,1974.8
87,2021-06-13 17:00:00,2021-06-18 00:00:00,2,11,1971.49
88,2022-09-25 09:00:00,2022-10-06 12:00:00,2,32,4752.56
89,2022-01-13 02:00:00,2022-01-15 08:00:00,5,45,610.64
90,2021-02-18 23:00:00,2021-02-20 11:00:00,2,32,4118.69
91,2020-01-04 01:00:00,2020-01-18 00:00:00,4,44,4520.46
92,2020-10-12 22:00:00,2020-10-19 20:00:00,1,26,1605.32
93,2022-01-05 18:00:00,2022-01-16 23:00:00,5,47,3999.31
94,2021-03-20 16:00:00,2021-04-02 12:00:00,3,22,114.69
95,2021-03-29 19:00:00,2021-04-10 03:00:00,3,7,3249.47
96,2020-06-23 05:00:00,2020-06-30 12:00:00,1,42,3649.35
97,2021-05-16 09:00:00,2021-05-28 19:00:00,4,3,4321.49
98,2022-12-21 11:00:00,2022-12-31 09:00:00,3,24,675.79
99,2021-08-24 01:00:00,2021-09-02 05:00:00,5,47,3971.01
100,2020-10-15 18:00:00,2020-10-28 14:00:00,2,17,2466.98
101,2020-01-03 15:00:00,2020-01-12 01:00:00,1,20,3749.9
102,2020-01-20 00:00:00,2020-02-03 04:00:00,1,50,3932.77
103,2022-12-17 11:00:00,2022-12-20 10:00:00,2,13,1495.61
104,2022-06-05 09:00:00,2022-06-09 14:00:00,4,32,3510.53
105,2020-11-08 11:00:00,2020-11-21 17:00:00,4,43,3249.68
106,2020-12-06 02:00:00,2020-12-15 08:00:00,1,24,490.74
107,2021-05-04 15:00:00,2021-05-12 11:00:00,2,36,767.31
108,2021-01-23 03:00:00,2021-02-02 01:00:00,2,24,4953.87
109,2022-04-19 11:00:00,2022-04-27 00:00:00,1,34,2941.69
110,2020-03-30 05:00:00,2020-04-05 05:00:00,2,25,215.33
111,2021-07-14 07:00:00,2021-07-20 04:00:00,4,7,4947.55
112,2021-02-19 03:00:00,2021-02-22 23:00:00,2,1,3606.09
113,2021-04-12 07:00:00,2021-04-13 22:00:00,3,30,4889.08
114,2022-11-03 15:00:00,2022-11-07 05:00:00,3,45,3137.05
115,2021-02-03 21:00:00,2021-02-11 10:00:00,3,50,2956.31
116,2021-12-13 17:00:00,2021-12-23 06:00:00,3,32,3964.16
117,2022-03-18 18:00:00,2022-03-28 01:00:00,5,5,4801.37
118,2022-02-17 04:00:00,2022-03-01 07:00:00,5,18,3274.97
119,2022-07-30 08:00:00,2022-08-08 07:00:00,1,1,332.69
120,2021-04-06 20:00:00,2021-04-18 14:00:00,1,3,2256.36
121,2021-12-11 11:00:00,2021-12-19 09:00:00,4,39,2467.38
122,2021-11-21 21:00:00,2021-11-23 19:00:00,1,6,814.45
123,2021-08-30 13:00:00,2021-09-05 23:00:00,2,36,1119.97
124,2022-05-12 15:00:00,2022-05-15 21:00:00,4,36,2109.83
125,2022-03-08 03:00:00,2022-03-19 09:00:00,3,48,2628.17
126,2021-05-26 03:00:00,2021-06-05 20:00:00,3,44,3448.37
127,2021-05-24 13:00:00,2021-05-26 17:00:00,5,38,4244.62
128,2020-08-20 10:00:00,2020-08-26 09:00:00,4,24,3789.17
129,2020-08-11 17:00:00,2020-08-17 08:00:00,2,47,3837.5
130,2022-05-21 14:00:00,2022-05-28 18:00:00,4,35,4557.2
131,2020-11-03 00:00:00,2020-11-12 16:00:00,5,16,4981.85
132,2021-10-11 08:00:00,2021-10-12 23:00:00,1,48,1989.04
133,2020-09-09 01:00:00,2020-09-18 19:00:00,3,21,3678.19
134,2021-04-10 01:00:00,2021-04-13 20:00:00,4,1,269.56
135,2021-05-30 23:00:00,2021-06-05 00:00:00,3,28,4685.71
136,2021-07-20 00:00:00,2021-07-22 12:00:00,4,50,877.93
137,2022-01-26 19:00:00,2022-02-05 23:00:00,4,6,2224.46
138,2022-08-18 22:00:00,2022-08-29 02:00:00,3,28,2797.77
139,2020-05-25 23:00:00,2020-06-09 18:00:00,3,43,4867.12
140,2021-10-16 08:00:00,2021-10-25 13:00:00,3,11,855.03
141,2020-09-30 09:00:00,2020-10-12 23:00:00,1,45,4864.82
142,2020-10-24 20:00:00,2020-11-02 04:00:00,3,50,3641.84
143,2022-04-10 10:00:00,2022-04-18 21:00:00,2,30,2640.82
144,2021-09-07 02:00:00,2021-09-21 13:00:00,4,39,1808.22
145,2022-04-30 22:00:00,2022-05-05 02:00:00,3,6,4218.97
146,2021-05-20 14:00:00,2021-05-24 19:00:00,1,5,3213.6
147,2021-11-06 13:00:00,2021-11-13 03:00:00,3,15,3500.91
148,2022-11-26 06:00:00,2022-12-11 05:00:00,3,24,2627.8
149,2022-10-25 09:00:00,2022-10-28 03:00:00,1,9,1520.81
150,2020-04-10 18:00:00,2020-04-17 04:00:00,3,9,4081.21
151,2020-02-23 09:00:00,2020-02-29 01:00:00,5,19,550.79
152,2020-05-28 10:00:00,2020-06-01 18:00:00,5,44,4060.84
153,2022-04-23 09:00:00,2022-04-25 12:00:00,3,18,3858.54
154,2021-09-07 08:00:00,2021-09-16 19:00:00,2,8,4023.49
155,2022-05-17 14:00:00,2022-05-20 12:00:00,5,16,3731.96
156,2021-10-25 21:00:00,2021-11-03 17:00:00,5,47,4461.27
157,2022-03-18 02:00:00,2022-03-29 17:00:00,5,2,2708.88
158,2020-06-04 19:00:00,2020-06-12 11:00:00,3,45,1067.22
159,2022-01-14 06:00:00,2022-01-26 07:00:00,4,17,2063.26
160,2022-05-15 21:00:00,2022-05-21 21:00:00,5,50,1641.48
161,2021-09-20 00:00:00,2021-09-29 00:00:00,5,27,3511.79
162,2022-02-06 15:00:00,2022-02-09 15:00:00,5,11,976.68
163,2022-05-16 03:00:00,2022-05-18 03:00:00,5,10,2876.45
164,2020-10-22 11:00:00,2020-10-28 07:00:00,5,23,3464.93
165,2021-09-27 09:00:00,2021-09-30 13:00:00,3,25,2227.76
166,2022-12-08 01:00:00,2022-12-19 07:00:00,4,2,4285.85
167,2022-03-26 12:00:00,2022-04-03 15:00:00,1,46,3709.93
168,2020-04-08 14:00:00,2020-04-20 21:00:00,2,4,3420.31
169,2020-01-30 18:00:00,2020-02-01 21:00:00,5,47,1421.7
170,2022-09-06 23:00:00,2022-09-09 11:00:00,2,18,655.38
171,2022-01-30 09:00:00,2022-02-08 02:00:00,5,8,3243.52
172,2022-07-03 15:00:00,2022-07-08 04:00:00,2,42,1267.27
173,2021-07-24 06:00:00,2021-08-03 15:00:00,3,24,2587.75
174,2021-08-26 19:00:00,2021-09-01 01:00:00,3,33,372.99
175,2020-01-22 05:00:00,2020-01-26 09:00:00,2,35,4823.83
176,2022-05-09 23:00:00,2022-05-21 14:00:00,1,2,4830.36
177,2020-06-26 06:00:00,2020-07-04 22:00:00,4,45,798.73
178,2020-06-23 15:00:00,2020-07-05 07:00:00,1,12,2441.85
179,2022-07-05 20:00:00,2022-07-10 01:00:00,2,21,2085.06
180,2021-10-14 05:00:00,2021-10-28 05:00:00,3,12,2242.16
181,2021-08-15 00:00:00,2021-08-17 12:00:00,4,3,4153.12
182,2021-02-12 17:00:00,2021-02-24 07:00:00,3,11,352.35
183,2022-08-10 06:00:00,2022-08-16 23:00:00,2,21,1574.88
184,2022-09-01 19:00:00,2022-09-12 22:00:00,3,49,3761.46
185,2020-10-28 13:00:00,2020-11-04 19:00:00,1,43,370.34
186,2022-12-13 18:00:00,2022-12-28 01:00:00,5,26,3674.08
187,2022-08-16 17:00:00,2022-08-30 10:00:00,5,39,1948.09
188,2021-03-26 18:00:00,2021-04-05 02:00:00,1,23,832.96
189,2021-07-03 01:00:00,2021-07-10 07:00:00,1,45,1924.24
190,2020-03-19 13:00:00,2020-03-23 16:00:00,3,23,821.62
191,2021-06-19 19:00:00,2021-06-24 09:00:00,5,24,2404.01
192,2020-09-23 01:00:00,2020-09-30 18:00:00,4,50,3573.5
193,2022-02-28 20:00:00,2022-03-11 22:00:00,2,19,2981.66
194,2021-04-10 06:00:00,2021-04-18 14:00:00,1,36,2427.16
195,2020-03-22 00:00:00,2020-04-03 17:00:00,1,45,1163.27
196,2020-12-17 06:00:00,2020-12-31 17:00:00,5,32,2899.13
197,2022-03-20 01:00:00,2022-04-03 20:00:00,1,30,2094.98
198,2020-02-18 18:00:00,2020-02-27 07:00:00,3,9,3940.11
199,2022-08-11 16:00:00,2022-08-18 03:00:00,4,33,1080.8
200,2021-11-21 18:00:00,2021-12-01 00:00:00,3,11,1496.86
201,2022-11-11 03:00:00,2022-11-23 23:00:00,3,7,4260.01
202,2022-05-20 04:00:00,2022-05-23 14:00:00,3,10,1695.08
203,2020-10-14 00:00:00,2020-10-28 09:00:00,3,44,2411.25
204,2020-03-17 20:00:00,2020-03-23 17:00:00,4,43,3575.88
205,2020-08-10 16:00:00,2020-08-15 05:00:00,2,46,2401.8
206,2022-09-15 11:00:00,2022-09-28 15:00:00,3,2,4994.72
207,2022-06-04 09:00:00,2022-06-07 01:00:00,3,14,2296.82
208,2022-06-18 05:00:00,2022-07-02 09:00:00,3,10,223.69
209,2022-09-14 02:00:00,2022-09-24 15:00:00,3,25,3016.81
210,2020-08-23 09:00:00,2020-08-29 06:00:00,4,25,1892.65
211,2022-09-30 13:00:00,2022-10-15 00:00:00,1,29,3323.01
212,2021-08-02 19:00:00,2021-08-05 06:00:00,3,4,3159.86
213,2020-03-05 00:00:00,2020-03-18 02:00:00,4,27,2808.88
214,2022-01-13 02:00:00,2022-01-17 16:00:00,3,31,1213.97
215,2022-08-07 05:00:00,2022-08-15 01:00:00,1,44,3006.86
216,2021-08-16 22:00:00,2021-08-20 22:00:00,3,29,1946.22
217,2022-09-20 22:00:00,2022-10-01 18:00:00,5,45,2786.91
218,2021-04-28 01:00:00,2021-05-02 20:00:00,3,47,1206.74
219,2021-03-24 01:00:00,2021-03-30 06:00:00,4,17,725.0
220,2021-11-04 00:00:00,2021-11-09 03:00:00,4,23,4889.12
221,2020-07-14 02:00:00,2020-07-17 11:00:00,5,9,3584.57
222,2021-05-11 04:00:00,2021-05-24 18:00:00,3,19,1761.33
223,2022-09-12 13:00:00,2022-09-25 12:00:00,4,28,4229.85
224,2020-05-09 14:00:00,2020-05-15 09:00:00,2,13,4571.67
225,2022-04-01 11:00:00,2022-04-04 10:00:00,5,14,142.1
226,2021-05-22 23:00:00,2021-05-28 00:00:00,2,38,3914.36
227,2020-02-08 10:00:00,2020-02-18 02:00:00,4,33,3323.46
228,2021-01-07 01:00:00,2021-01-13 21:00:00,4,11,3054.27
229,2021-11-29 03:00:00,2021-12-12 04:00:00,3,37,582.23
230,2021-01-20 01:00:00,2021-01-25 06:00:00,2,2,4786.05
231,2020-03-10 14:00:00,2020-03-17 06:00:00,5,35,756.78
232,2020-08-05 16:00:00,2020-08-09 11:00:00,2,21,4476.59
233,2020-01-09 09:00:00,2020-01-13 06:00:00,4,25,4052.28
234,2021-04-10 13:00:00,2021-04-23 11:00:00,5,31,3172.85
235,2021-07-11 09:00:00,2021-07-19 00:00:00,4,34,4513.62
236,2021-10-30 12:00:00,2021-11-05 22:00:00,1,36,554.19
237,2022-04-22 20:00:00,2022-05-01 05:00:00,2,17,4143.0
238,2022-06-14 15:00:00,2022-06-27 02:00:00,2,13,2937.04
239,2021-09-28 19:00:00,2021-10-02 22:00:00,1,23,4879.39
240,2022-04-09 07:00:00,2022-04-19 05:00:00,3,24,437.04
241,2022-05-05 00:00:00,2022-05-16 01:00:00,1,47,3396.37
242,2020-01-16 22:00:00,2020-01-30 05:00:00,5,25,3208.95
243,2022-01-06 08:00:00,2022-01-12 22:00:00,5,39,1949.57
244,2021-08-20 07:00:00,2021-09-01 17:00:00,1,44,869.92
245,2021-06-11 21:00:00,2021-06-15 07:00:00,2,14,947.8
246,2022-03-16 12:00:00,2022-03-21 06:00:00,1,19,2550.29
247,2020-07-01 04:00:00,2020-07-06 08:00:00,4,26,1266.7
248,2021-10-27 21:00:00,2021-10-29 08:00:00,2,23,4075.87
249,2022-01-19 13:00:00,2022-01-29 08:00:00,5,17,3977.34
250,2022-06-06 00:00:00,2022-06-11 21:00:00,3,10,1796.04
251,2022-12-21 00:00:00,2022-12-27 09:00:00,2,38,3805.02
252,2020-09-18 21:00:00,2020-09-26 11:00:00,5,9,2842.33
253,2022-12-14 19:00:00,2022-12-25 01:00:00,1,1,3593.97
254,2021-11-06 16:00:00,2021-11-20 01:00:00,5,31,1996.09
255,2020-07-17 16:00:00,2020-07-21 13:00:00,5,14,1440.15
256,2021-01-24 10:00:00,2021-02-06 10:00:00,4,13,4739.14
257,2020-06-05 09:00:00,2020-06-17 06:00:00,2,48,4455.52
258,2022-08-30 09:00:00,2022-09-02 01:00:00,5,4,4049.34
259,2022-02-22 05:00:00,2022-02-28 19:00:00,2,25,3799.63
260,2022-11-13 05:00:00,2022-11-25 02:00:00,4,37,976.35
261,2021-07-07 13:00:00,2021-07-18 15:00:00,2,2,935.4
262,2020-01-14 05:00:00,2020-01-21 12:00:00,2,42,2664.67
263,2022-10-30 09:00:00,2022-11-01 22:00:00,3,45,4644.62
264,2022-11-21 05:00:00,2022-11-25 23:00:00,2,13,411.19
265,2022-08-19 18:00:00,2022-09-01 00:00:00,2,9,2583.75
266,2022-04-11 04:00:00,2022-04-17 07:00:00,4,46,2703.34
267,2021-11-02 04:00:00,2021-11-10 10:00:00,5,46,3035.04
268,2022-04-30 09:00:00,2022-05-10 14:00:00,2,4,967.75
269,2022-02-08 00:00:00,2022-02-19 13:00:00,3,14,3066.55
270,2022-03-11 02:00:00,2022-03-19 13:00:00,2,26,3017.32
271,2021-04-14 19:00:00,2021-04-18 13:00:00,1,35,2582.5
272,2022-03-04 21:00:00,2022-03-18 06:00:00,1,46,4794.62
273,2022-10-18 03:00:00,2022-10-24 11:00:00,3,26,4499.84
274,2022-05-16 03:00:00,2022-05-30 04:00:00,3,36,2961.47
275,2020-01-31 05:00:00,2020-02-07 20:00:00,4,36,4493.08
276,2020-06-21 03:00:00,2020-06-30 05:00:00,5,49,3772.18
277,2021-12-25 01:00:00,2022-01-08 22:00:00,1,17,2389.75
278,2020-07-18 07:00:00,2020-07-20 01:00:00,1,12,1674.15
279,2020-09-23 08:00:00,2020-09-27 11:00:00,3,34,3688.99
280,2022-09-24 14:00:00,2022-09-30 19:00:00,3,5,1267.0
281,2022-06-14 03:00:00,2022-06-27 03:00:00,1,30,4933.19
282,2021-07-07 01:00:00,2021-07-14 07:00:00,2,29,4831.8
283,2022-05-31 04:00:00,2022-06-01 10:00:00,5,42,2390.89
284,2020-06-07 01:00:00,2020-06-09 22:00:00,2,39,2746.89
285,2021-10-11 06:00:00,2021-10-14 00:00:00,4,31,2523.98
286,2020-09-26 13:00:00,2020-10-03 14:00:00,1,2,932.67
287,2022-04-27 14:00:00,2022-05-07 01:00:00,3,30,2617.83
288,2021-02-08 09:00:00,2021-02-20 22:00:00,4,42,3661.47
289,2021-11-19 08:00:00,2021-11-25 20:00:00,4,24,898.96
290,2022-08-03 16:00:00,2022-08-10 02:00:00,4,47,4251.37
291,2021-10-16 06:00:00,2021-10-18 19:00:00,4,14,603.29
292,2021-03-25 20:00:00,2021-04-08 08:00:00,4,31,1079.3
293,2021-06-02 15:00:00,2021-06-10 19:00:00,5,15,1726.29
294,2020-11-27 19:00:00,2020-12-11 01:00:00,4,48,3471.37
295,2020-03-29 01:00:00,2020-04-10 06:00:00,1,46,4265.29
296,2020-06-27 00:00:00,2020-07-01 09:00:00,3,36,1296.56
297,2020-08-07 15:00:00,2020-08-19 03:00:00,3,9,1155.15
298,2020-04-17 01:00:00,2020-05-01 07:00:00,3,17,3049.24
299,2020-07-31 00:00:00,2020-08-12 08:00:00,3,47,490.42
300,2020-07-23 03:00:00,2020-08-02 08:00:00,2,40,4620.14
301,2021-06-07 14:00:00,2021-06-17 04:00:00,4,48,4325.33
302,2020-11-07 13:00:00,2020-11-15 21:00:00,3,29,4966.24
303,2020-01-23 03:00:00,2020-01-28 14:00:00,3,1,2478.26
304,2021-07-24 17:00:00,2021-08-01 03:00:00,1,16,1734.26
305,2022-06-09 03:00:00,2022-06-18 09:00:00,1,41,2711.96
306,2021-09-24 04:00:00,2021-09-25 11:00:00,1,19,188.99
307,2021-01-13 01:00:00,2021-01-18 13:00:00,1,21,1022.62
308,2020-12-18 10:00:00,2020-12-29 04:00:00,3,14,2172.32
309,2020-09-20 06:00:00,2020-09-28 20:00:00,3,12,2640.17
310,2020-03-09 09:00:00,2020-03-22 17:00:00,3,13,2755.09
311,2022-02-04 09:00:00,2022-02-16 17:00:00,5,3,3984.7
312,2020-10-06 07:00:00,2020-10-08 04:00:00,5,12,2821.42
313,2022-01-04 22:00:00,2022-01-17 19:00:00,4,24,928.91
314,2020-08-16 09:00:00,2020-08-19 11:00:00,1,13,3477.64
315,2022-08-26 22:00:00,2022-09-08 19:00:00,4,35,4298.1
316,2021-01-17 05:00:00,2021-01-22 21:00:00,3,1,2390.45
317,2022-03-24 02:00:00,2022-03-30 11:00:00,1,4,3658.04
318,2022-01-06 03:00:00,2022-01-14 01:00:00,2,49,3411.11
319,2020-04-03 20:00:00,2020-04-07 09:00:00,4,23,3834.04
320,2022-01-17 23:00:00,2022-01-29 10:00:00,1,26,2532.61
321,2020-05-23 22:00:00,2020-06-05 22:00:00,4,3,2477.15
322,2021-07-25 05:00:00,2021-07-28 07:00:00,4,19,2256.52
323,2021-05-26 20:00:00,2021-05-31 16:00:00,5,6,4907.82
324,2021-03-28 09:00:00,2021-04-10 07:00:00,5,2,258.09
