past_tr_id,past_tr_departure,past_tr_return,past_tr_dest_count,past_tr_participants,past_tr_revenue
1,2021-12-19 02:00:00,2021-12-27 18:00:00,2,7,3394.52
2,2020-11-25 00:00:00,2020-11-30 23:00:00,3,8,2731.16
3,2020-07-30 08:00:00,2020-08-12 13:00:00,3,5,4998.75
4,2020-02-11 11:00:00,2020-02-23 22:00:00,4,17,1435.27
5,2020-10-29 07:00:00,2020-11-04 03:00:00,2,27,4869.83
6,2022-01-20 15:00:00,2022-02-04 02:00:00,1,39,1833.21
7,2022-09-15 06:00:00,2022-09-29 12:00:00,2,19,873.81
8,2021-10-19 14:00:00,2021-10-30 19:00:00,5,26,913.24
9,2020-12-01 12:00:00,2020-12-09 04:00:00,4,4,2408.12
10,2021-03-06 08:00:00,2021-03-13 05:00:00,3,8,3463.06
11,2020-03-08 20:00:00,2020-03-19 12:00:00,1,28,2472.46
12,2020-12-31 13:00:00,2021-01-07 01:00:00,4,18,2891.82
13,2020-04-05 12:00:00,2020-04-18 18:00:00,5,28,285.27
14,2022-07-17 05:00:00,2022-07-26 02:00:00,4,10,1669.02
15,2021-04-14 04:00:00,2021-04-25 15:00:00,4,39,1498.47
16,2020-11-18 11:00:00,2020-11-30 20:00:00,1,24,776.74
17,2021-12-06 20:00:00,2021-12-17 10:00:00,1,27,3513.32
18,2021-10-11 02:00:00,2021-10-17 00:00:00,3,16,1399.43
19,2022-03-30 08:00:00,2022-04-03 14:00:00,3,31,3930.82
20,2020-11-11 19:00:00,2020-11-14 06:00:00,2,15,3322.26
21,2021-02-04 06:00:00,2021-02-14 15:00:00,2,42,3827.77
22,2021-05-21 02:00:00,2021-05-24 15:00:00,1,46,4991.18
23,2021-12-07 14:00:00,2021-12-21 06:00:00,3,24,1846.4
24,2020-04-22 11:00:00,2020-05-03 04:00:00,5,2,2554.59
25,2022-12-25 04:00:00,2023-01-06 00:00:00,5,45,1344.21
26,2020-09-04 19:00:00,2020-09-13 18:00:00,3,19,3670.98
27,2021-01-27 01:00:00,2021-02-06 16:00:00,1,19,3195.27
28,2022-06-18 20:00:00,2022-06-30 05:00:00,1,33,1094.78
29,2021-06-15 04:00:00,2021-06-24 11:00:00,2,40,3465.11
30,2022-04-25 14:00:00,2022-05-04 12:00:00,4,27,1540.83
31,2022-01-07 19:00:00,2022-01-08 22:00:00,2,38,2873.84
32,2021-03-07 00:00:00,2021-03-18 12:00:00,1,31,2632.49
33,2020-07-24 16:00:00,2020-08-04 22:00:00,3,36,1111.65
34,2021-02-25 22:00:00,2021-03-09 15:00:00,4,22,278.46
35,2020-05-05 03:00:00,2020-05-07 11:00:00,2,5,4451.98
36,2021-07-14 23:00:00,2021-07-23 19:00:00,2,49,509.79
37,2020-11-28 11:00:00,2020-12-06 14:00:00,4,31,4967.18
38,2021-03-17 06:00:00,2021-03-30 02:00:00,2,23,1033.81
39,2022-08-28 15:00:00,2022-09-07 08:00:00,5,8,3010.03
40,2020-07-24 00:00:00,2020-07-31 21:00:00,3,15,3691.81
41,2021-11-09 12:00:00,2021-11-16 14:00:00,1,26,1220.82
42,2022-09-24 09:00:00,2022-09-26 08:00:00,2,3,4616.9
43,2021-12-30 23:00:00,2022-01-13 02:00:00,5,13,1441.69
44,2020-07-27 14:00:00,2020-08-02 01:00:00,4,46,4896.4
45,2021-06-08 15:00:00,2021-06-10 09:00:00,3,37,285.9
46,2020-01-17 07:00:00,2020-01-23 04:00:00,5,14,1348.11
47,2021-09-27 00:00:00,2021-10-04 07:00:00,3,6,1511.58
48,2022-02-19 18:00:00,2022-03-05 10:00:00,1,48,3301.85
49,2022-01-10 19:00:00,2022-01-21 06:00:00,5,2,2717.86
50,2021-08-01 09:00:00,2021-08-05 08:00:00,1,7,1213.32
51,2020-03-06 22:00:00,2020-03-16 07:00:00,1,50,4075.41
52,2020-05-15 21:00:00,2020-05-25 19:00:00,5,34,3307.03
53,2020-06-26 11:00:00,2020-07-06 05:00:00,5,40,1872.78
54,2021-04-15 13:00:00,2021-04-18 11:00:00,3,36,4835.05
55,2021-10-02 12:00:00,2021-10-17 03:00:00,4,6,655.85
